name,fips,cases
Texas,48125.0,504.0
Virginia,51051.0,4900.0
North Dakota,38021.0,1802.0
Iowa,19059.0,4754.0
Kansas,20041.0,5915.0
Michigan,26043.0,9455.0
Tennessee,47043.0,20295.0
Alaska,2070.0,2272.0
South Carolina,45033.0,11778.0
Texas,48127.0,6235.0
Virginia,51053.0,7533.0
District of Columbia,11001.0,178226.0
North Dakota,38023.0,605.0
Florida,12029.0,4934.0
Nebraska,31051.0,1412.0
West Virginia,54017.0,2510.0
Georgia,13091.0,5967.0
Minnesota,27039.0,6758.0
Nebraska,31053.0,12120.0
Wisconsin,55027.0,33157.0
Colorado,8033.0,424.0
Kansas,20043.0,2857.0
Texas,48129.0,1277.0
Georgia,13093.0,2865.0
Wisconsin,55029.0,8815.0
Puerto Rico,72051.0,13038.0
Maryland,24019.0,9588.0
South Carolina,45035.0,71532.0
Georgia,13095.0,24655.0
Colorado,8035.0,101264.0
Georgia,13097.0,43605.0
Illinois,17041.0,7961.0
Kansas,20045.0,34515.0
Minnesota,27041.0,13486.0
Missouri,29067.0,3070.0
Nebraska,31055.0,182403.0
Nevada,32005.0,8826.0
Oregon,41019.0,26143.0
South Dakota,46043.0,842.0
Washington,53017.0,13386.0
Wisconsin,55031.0,14516.0
New Mexico,35013.0,77316.0
Arkansas,5043.0,5645.0
Illinois,17043.0,291016.0
Indiana,18037.0,15130.0
Iowa,19061.0,31111.0
Utah,49013.0,5107.0
Massachusetts,25007.0,4384.0
Nebraska,31057.0,414.0
Missouri,29069.0,9740.0
North Dakota,38025.0,1202.0
Wisconsin,55033.0,15658.0
North Carolina,37061.0,21003.0
North Carolina,37063.0,103643.0
New York,36027.0,85668.0
Florida,12031.0,317809.0
Texas,48131.0,4443.0
Tennessee,47045.0,15841.0
Colorado,8037.0,18880.0
Georgia,13099.0,3156.0
Louisiana,22033.0,145186.0
Louisiana,22035.0,3374.0
Louisiana,22037.0,8382.0
Texas,48133.0,3405.0
Michigan,26045.0,35250.0
Wisconsin,55035.0,36793.0
Georgia,13101.0,1057.0
Texas,48135.0,46056.0
New Mexico,35015.0,19301.0
North Dakota,38027.0,896.0
Illinois,17045.0,6698.0
North Carolina,37065.0,17643.0
South Carolina,45037.0,8434.0
Kentucky,21061.0,3307.0
South Dakota,46045.0,1073.0
Illinois,17047.0,2135.0
Kansas,20047.0,682.0
Texas,48137.0,560.0
Georgia,13103.0,16467.0
Illinois,17049.0,12877.0
California,6017.0,39270.0
Colorado,8041.0,238168.0
Texas,48141.0,244008.0
Colorado,8039.0,5852.0
Georgia,13105.0,5347.0
Kansas,20049.0,702.0
Pennsylvania,42047.0,8665.0
Indiana,18039.0,61536.0
Nevada,32007.0,12955.0
Kentucky,21063.0,3713.0
Kansas,20051.0,8455.0
Oklahoma,40045.0,1026.0
Texas,48139.0,57700.0
Kansas,20053.0,2470.0
Alabama,1051.0,29896.0
Idaho,16039.0,9165.0
Georgia,13107.0,6801.0
Utah,49015.0,2970.0
Iowa,19063.0,2707.0
Michigan,26047.0,7640.0
North Dakota,38029.0,841.0
Virginia,51595.0,1665.0
Texas,48143.0,9900.0
New York,36029.0,272312.0
Ohio,39043.0,25105.0
Pennsylvania,42049.0,72513.0
Alabama,1053.0,12432.0
Florida,12033.0,94491.0
Nevada,32009.0,124.0
